英文省份,年份,验光方式1非散瞳；2散瞳；3试片,1-3年级城市人数,1-3年级城市近视人数,1-3年级城市患病率,1-3年级农村人数,1-3年级农村近视人数,1-3年级农村患病率,4-6年级城市人数,4-6年级城市近视人数,4-6年级城市患病率,4-6年级农村人数,4-6年级农村近视人数,4-6年级农村患病率,7-9年级城市人数,7-9年级城市近视人数,7-9年级城市近视率,7-9年级农村人数,7-9年级农村近视人数,7-9年级农村近视率,10-12年级城市人数,10-12年级城市近视人数,10-12年级城市近视率,10-12年级农村人数,10-12年级农村近视人数,10-12年级农村近视率
Tianjin,2005.0,3.0,909,244,0.26839999999999997,913,52,0.057,991,467,0.47119999999999995,913,153,0.16760000000000003,970,510,0.5257999999999999,905,399,0.4409,977,727,0.7441,917,662,0.7219
Liaoning,2005.0,3.0,900,330,0.3667,900,263,0.2922,900,499,0.5544,899,414,0.46049999999999996,900,623,0.6922,900,512,0.5689,918,764,0.8321999999999999,909,744,0.8184999999999999
Shanghai,2005.0,3.0,900,218,0.2422,899,130,0.1446,897,412,0.4593,899,321,0.35710000000000003,898,586,0.6526000000000001,900,555,0.6167,899,638,0.7097,900,636,0.7067
Jiangsu,2005.0,3.0,1146,377,0.32899999999999996,1132,305,0.26940000000000003,1135,586,0.5163,1154,583,0.5052,1160,837,0.7216,1132,883,0.78,1197,1059,0.8847,1220,1063,0.8713
Zhejiang,2005.0,3.0,907,240,0.2646,907,223,0.2459,900,516,0.5733,900,463,0.5144,899,716,0.7964,904,697,0.7709999999999999,902,813,0.9013,899,806,0.8966
Shandong,2005.0,3.0,1056,314,0.2973,1080,256,0.237,1108,602,0.5433,1083,565,0.5217,1032,844,0.8178,1071,807,0.7535,1069,949,0.8876999999999999,1077,989,0.9183
Guangdong,2005.0,3.0,900,283,0.3144,900,97,0.10779999999999999,900,467,0.5189,900,191,0.2122,900,601,0.6678000000000001,900,337,0.37439999999999996,900,686,0.7622,900,548,0.6089
Beijing,2010.0,3.0,898,332,0.3697,900,261,0.29,900,548,0.6089,900,385,0.4278,900,703,0.7811,900,582,0.6467,900,758,0.8422,900,707,0.7856000000000001
Tianjin,2010.0,3.0,900,153,0.17,899,55,0.061200000000000004,900,352,0.3911,900,216,0.24,900,590,0.6556000000000001,900,460,0.5111,900,640,0.7111,899,530,0.5895
Liaoning,2010.0,3.0,897,305,0.34,896,172,0.192,899,500,0.5562,899,340,0.3782,897,695,0.7748,898,546,0.608,898,778,0.8664000000000001,895,720,0.8045
Shanghai,2010.0,3.0,900,337,0.37439999999999996,900,307,0.3411,900,589,0.6544,900,551,0.6122,900,749,0.8321999999999999,900,758,0.8422,900,800,0.8889,900,793,0.8811
Jiangsu,2010.0,3.0,900,338,0.37560000000000004,900,243,0.27,900,541,0.6011,900,435,0.4833,900,675,0.75,900,674,0.7489,900,721,0.8011,900,724,0.8044
Zhejiang,2010.0,3.0,900,330,0.3667,900,299,0.3322,898,599,0.667,900,614,0.6822,900,791,0.8789,900,805,0.8944,900,821,0.9122,894,796,0.8904000000000001
Shandong,2010.0,3.0,889,421,0.4736,890,339,0.3809,881,595,0.6754000000000001,894,494,0.5526,889,752,0.8459,899,653,0.7264,895,808,0.9028,898,819,0.912
Guangdong,2010.0,3.0,900,397,0.4411,900,176,0.1956,900,551,0.6122,900,365,0.4056,900,624,0.6933,900,496,0.5511,900,718,0.7978000000000001,900,591,0.6567000000000001
Beijing,2014.0,3.0,900,346,0.38439999999999996,900,261,0.29,900,639,0.71,900,483,0.5367000000000001,900,778,0.8644,900,706,0.7844,800,735,0.9188,800,697,0.8713
Tianjin,2014.0,3.0,898,341,0.3797,899,239,0.2659,893,613,0.6865000000000001,899,499,0.5550999999999999,898,766,0.853,899,738,0.8209000000000001,900,794,0.8822,900,771,0.8567
Liaoning,2014.0,3.0,899,270,0.3003,899,237,0.2636,896,518,0.5781000000000001,900,398,0.4422,900,632,0.7021999999999999,898,646,0.7193999999999999,900,715,0.7944,899,677,0.7531
Shanghai,2014.0,3.0,900,405,0.45,900,339,0.37670000000000003,900,625,0.6944,900,631,0.7011,900,743,0.8256,900,789,0.8767,862,773,0.8968,881,827,0.9387000000000001
Jiangsu,2014.0,3.0,900,412,0.4578,900,350,0.3889,900,657,0.73,900,597,0.6633,900,803,0.8922,900,753,0.8367,750,703,0.9373,799,725,0.9074
Zhejiang,2014.0,3.0,898,361,0.402,890,148,0.1663,896,573,0.6395000000000001,893,268,0.30010000000000003,883,635,0.7191,900,322,0.3578,892,563,0.6312,900,399,0.44329999999999997
Shandong,2014.0,3.0,898,377,0.41979999999999995,898,373,0.4154,899,571,0.6352,899,512,0.5695,900,769,0.8543999999999999,898,644,0.7171,900,817,0.9078,899,739,0.8220000000000001
Guangdong,2014.0,3.0,899,380,0.4227,900,248,0.2756,899,545,0.6062,900,427,0.4744,900,712,0.7911,899,569,0.6329,899,723,0.8042,900,609,0.6767
Shaanxi,2012.0,2.0,,,,,,,0 ,0 ,,9967 ,2308 ,0.2316,,,,,,,,,,,,
Inner Mongolia,2013.0,2.0,0 ,0 ,,560 ,183 ,0.3268,0 ,0 ,,398 ,255 ,0.6406999999999999,0 ,0 ,,374 ,293 ,0.7834,0 ,0 ,,233 ,192 ,0.8240000000000001
Chongqing,2006.0,2.0,891 ,19 ,0.0209,0 ,0 ,,1010 ,116 ,0.1148,0 ,0 ,,1169 ,282 ,0.2412,0 ,0 ,,,,,,,
Hubei,2018.0,1.0,58506 ,14141 ,0.24170000000000003,0 ,0 ,,58506 ,27808 ,0.4753,0 ,0 ,,,,,,,,,,,,,
Hubei,2020.0,1.0,58506 ,14351 ,0.24530000000000002,0 ,0 ,,58506 ,31476 ,0.5379999999999999,0 ,0 ,,,,,,,,,,,,,
Heilongjiang,2008.0,2.0,0 ,0 ,,436 ,4 ,0.0092,0 ,0 ,,584 ,26 ,0.044500000000000005,,,,,,,0 ,0 ,,655 ,54 ,0.0824
Hubei,2017.0,2.0,12872 ,3104 ,0.24109999999999998,4083 ,325 ,0.0796,,,,,,,,,,,,,,,,,,
Chongqing,2019.0,1.0,30223 ,4944 ,0.1636,0 ,0 ,,21933 ,9916 ,0.4521,0 ,0 ,,18528 ,11865 ,0.6404000000000001,0 ,0 ,,10764 ,8438 ,0.7839,0 ,0 ,
Chongqing,2012.0,1.0,969 ,161 ,0.16620000000000001,0 ,0 ,,911 ,414 ,0.45439999999999997,0 ,0 ,,,,,,,,,,,,,
Chongqing,2018.0,1.0,749 ,138 ,0.1848,0 ,0 ,,749 ,383 ,0.5108,0 ,0 ,,533 ,339 ,0.636,0 ,0 ,,910 ,648 ,0.7121,0 ,0 ,
Hubei,2014.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
